id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53511035,"Studio Copacabana RJ Comunidade 
Aconchegante",19295149,Lucia,,Copacabana,-22.96322,-43.19053,Entire home/apt,60,4,17,2022-06-12,2.71,2,151,17,
53511624,Apart hotel Villa del Sol residence Apto 514,383316943,Eduardo,,Recreio dos Bandeirantes,-23.03071,-43.47499,Entire home/apt,600,2,3,2022-02-27,0.60,2,128,3,
53444862,Chambre d'hôtel Rio de Janeiro,432750042,Marilou,,Copacabana,-22.97686,-43.18757,Private room,700,7,0,,,1,0,0,
53445402,"Casa agradável 
Maison bucolique
Green House",20976679,Christina,,Gávea,-22.97316,-43.2281,Private room,2200,1,0,,,2,365,0,
53445430,LEME - Ótima localização e espaçoso,432754569,Marco Antonio,,Leme,-22.96309,-43.17336,Entire home/apt,500,4,3,2022-04-25,0.53,1,164,3,
53445994,tyu,325866440,Enrique Y Fernanda,,Recreio dos Bandeirantes,-23.03112,-43.47699,Entire home/apt,320,7,0,,,3,81,0,
53446901,Apartamento encantador em Copacabana,432768292,Dalvanice,,Copacabana,-22.96441,-43.17519,Entire home/apt,180,3,0,,,1,88,0,
53385710,"Avenida Atlântica, FRENTE MAR!!! Posto 6",271367467,Anna,,Copacabana,-22.984037,-43.19006,Entire home/apt,1014,3,2,2022-04-19,0.35,4,219,2,
53385984,Quarto ( Aconchegante). 2 pessoas,378260918,Taci,,Copacabana,-22.98135,-43.19032,Private room,110,1,15,2022-05-18,2.20,4,263,15,
53447777,Apartamento feminista antifascista,232999088,Cecília,,Laranjeiras,-22.9351,-43.18756,Entire home/apt,379,3,0,,,1,365,0,
53511947,Loft no campo com piscina do condomínio,91674809,Felipe,,Guaratiba,-22.98361,-43.55469,Entire home/apt,393,2,2,2022-01-28,0.41,1,365,2,
53512544,APARTAMENTO BARRA DA TIJUCA 30,47584281,Renato,,Jacarepaguá,-22.97087,-43.39214,Entire home/apt,450,1,1,2021-11-28,0.15,73,356,1,
53512617,2 bedrooms Renovated apartment with sea view for your holidays in Ipanema,2438594,WhereInRio,,Ipanema,-22.98649,-43.19236,Entire home/apt,1404,1,0,,,14,355,0,
53512618,Balanço do Mar TC609,164822022,Priscilla,,Copacabana,-22.97596,-43.1884,Entire home/apt,175,1,4,2022-05-15,0.60,35,171,4,
53512820,Condomínio encantador no meio da mata e vista!,201309762,Roberto,,Santa Teresa,-22.93666,-43.20319,Entire home/apt,455,3,2,2022-03-02,0.36,1,262,2,
53512862,Lindo stduio!,418734004,Nubia,,Copacabana,-22.98024,-43.19116,Entire home/apt,210,2,0,,,8,350,0,
53512993,Quarto charmoso e familiar no coração do Leblon,73646068,Sofia,,Leblon,-22.98145,-43.2257,Private room,250,2,0,,,2,148,0,
53513251,Apto espaçoso & reformado c/hidromassagem p/ praia,163743872,Larissa,,Copacabana,-22.97097,-43.18554,Entire home/apt,750,2,6,2022-06-20,1.06,1,229,6,
53513311,"COMPLETO Duplex colado na PRAIA e no SHOPPING com 3 quartos, Escritório, wi fi, lavanderia",27229964,Beatriz,,Recreio dos Bandeirantes,-23.02221,-43.48796,Entire home/apt,332,1,12,2022-06-05,1.76,11,44,12,
53513455,Lindíssimo 2 quartos!,418734004,Nubia,,Copacabana,-22.97247,-43.1895,Entire home/apt,420,2,0,,,8,351,0,
53514215,Apartamento próximo a praia e ao Barra Shopping,96519575,Vivianne,,Barra da Tijuca,-23.00519,-43.35067,Entire home/apt,446,2,8,2022-03-04,1.38,1,358,8,
53515093,Lindo Apartamento Ipanema,352008051,Alex,,Ipanema,-22.98092,-43.2,Entire home/apt,200,1,0,,,13,255,0,
53515324,"Casa perto do Parq Olímpico, 3 suítes Rock in Rio!",80120450,Samuel,,Recreio dos Bandeirantes,-23.00131,-43.43436,Entire home/apt,379,1,1,2022-05-29,1,2,347,1,
53516867,The best room 200 meters from the beach,26856002,Claudia,,Copacabana,-22.972921,-43.188721,Private room,123,3,10,2022-05-29,1.76,2,58,10,
53387113,apartamento encantador no Leblon,252374892,Mauricio,,Leblon,-22.985,-43.22565,Entire home/apt,409,2,15,2022-05-23,2.60,1,152,15,
53517349,"Na Praia Leblon, quase 50 mts melhor apartamento.",432486584,Guilherme,,Leblon,-22.98559,-43.22357,Entire home/apt,361,2,2,2022-04-24,0.54,1,348,2,
53517372,Encantador Apartamento - Temporada em Copacabana,250158399,Cadu,,Copacabana,-22.97484,-43.19153,Entire home/apt,200,3,9,2022-04-30,1.33,7,50,9,
53517615,Melhor Estrutura e localização de Botafogo,41924958,Vitor,,Botafogo,-22.94847,-43.19063,Entire home/apt,680,3,0,,,1,0,0,
53447819,"Curta suas férias e o carnaval carioca na Lapa, RJ",415361942,Souza,,Centro,-22.91483,-43.18784,Entire home/apt,90,2,27,2022-06-13,4.45,1,285,27,
53387922,BARRA PREMIUM(Espaço inteiro)Condomínio FechadoTop,287701549,Fernanda,,Barra da Tijuca,-22.98862,-43.35615,Entire home/apt,800,3,2,2022-05-07,0.63,2,325,2,
53388759,Wonderful apartment with see view,435977627,Daniel,,Barra da Tijuca,-23.00898,-43.36536,Entire home/apt,286,5,14,2022-05-29,2.56,1,238,14,
53448099,Original & cozy 2 bedroom apartment in Copacabana.,46019509,Michel-Pierre,,Copacabana,-22.9833,-43.19185,Entire home/apt,300,5,2,2022-05-17,0.64,1,131,2,
53448148,Copacabana apto a passos  da Praia. menor preço!!,11033607,Alê,,Copacabana,-22.97647,-43.19082,Entire home/apt,150,3,2,2022-01-19,0.35,4,153,2,
53448338,SuhcasaCopacabana 07 Wonderful Copa,310319158,Suellen,,Copacabana,-22.96512,-43.17775,Entire home/apt,175,3,38,2022-06-16,5.45,12,33,38,
53449386,Quarto em Apartamento no Estácio,64059476,Ruben Dario,,Estácio,-22.917393,-43.206997,Private room,65,4,1,2022-01-04,0.18,2,51,1,
53517703,"Aluguel de temporada em Copacabana, réveillons",433365521,Jane,,Copacabana,-22.97945,-43.19041,Entire home/apt,998,5,0,,,1,365,0,
53389202,Leblon - Apartamento suíte bem localizado.,83541087,Eduardo,,Leblon,-22.98205,-43.22194,Entire home/apt,230,3,5,2022-02-25,0.78,1,0,5,
53390371,Apartamento com vista incrível pra Praia da Barra,170750429,Elaine,,Barra da Tijuca,-23.00667,-43.32915,Entire home/apt,373,3,2,2022-04-24,0.40,1,167,2,
53392519,"cozy apartment in leblon
apartamento aconchegante.",432306423,Edilene,,Leblon,-22.98143,-43.21681,Entire home/apt,274,2,2,2022-03-07,0.38,1,61,2,
